mysql root@(none):covid_data> select c.`County_ID`, c.`Name`, c.`Never_Mask`, c.`Rarely_Mask` from `County` as c having (c.`Never_Mask` + c.`Rarely_Mask`) < 0.1;
+-----------+----------------------------+------------+-------------+
| County_ID | Name                       | Never_Mask | Rarely_Mask |
| 35006     | Cibola                     | 0.003      | 0.059       |
| 35007     | Colfax                     | 0.041      | 0.019       |
| 35013     | Doña Ana                   | 0.011      | 0.044       |
| 35017     | Grant                      | 0.043      | 0.031       |
| 35019     | Guadalupe                  | 0.014      | 0.049       |
| 35023     | Hidalgo                    | 0.056      | 0.037       |
| 35027     | Lincoln                    | 0.040      | 0.012       |
| 35028     | Los Alamos                 | 0.001      | 0.041       |
| 35031     | McKinley                   | 0.010      | 0.060       |
| 35033     | Mora                       | 0.002      | 0.027       |
| 35039     | Rio Arriba                 | 0.007      | 0.054       |
| 35043     | Sandoval                   | 0.017      | 0.015       |
| 35045     | San Juan                   | 0.057      | 0.015       |
| 35047     | San Miguel                 | 0.004      | 0.020       |
| 35049     | Santa Fe                   | 0.008      | 0.016       |
| 35051     | Sierra                     | 0.030      | 0.039       |
| 35053     | Socorro                    | 0.002      | 0.008       |
| 35055     | Taos                       | 0.006      | 0.041       |
| 35061     | Valencia                   | 0.006      | 0.009       |
| 36001     | Albany                     | 0.006      | 0.012       |
| 36003     | Allegany                   | 0.062      | 0.015       |
| 36007     | Broome                     | 0.044      | 0.028       |
| 36009     | Cattaraugus                | 0.015      | 0.013       |
| 36011     | Cayuga                     | 0.000      | 0.033       |
| 36013     | Chautauqua                 | 0.029      | 0.024       |
| 36015     | Chemung                    | 0.012      | 0.046       |
| 36017     | Chenango                   | 0.048      | 0.045       |
| 36019     | Clinton                    | 0.017      | 0.024       |
| 36021     | Columbia                   | 0.014      | 0.004       |
| 36023     | Cortland                   | 0.001      | 0.062       |
| 36027     | Dutchess                   | 0.007      | 0.009       |
| 36029     | Erie                       | 0.018      | 0.014       |
| 36033     | Franklin                   | 0.026      | 0.027       |
| 36035     | Fulton                     | 0.078      | 0.015       |
| 36037     | Genesee                    | 0.001      | 0.017       |
| 36039     | Greene                     | 0.022      | 0.014       |
| 36041     | Hamilton                   | 0.042      | 0.024       |
| 36043     | Herkimer                   | 0.015      | 0.026       |
| 36045     | Jefferson                  | 0.008      | 0.058       |
| 36051     | Livingston                 | 0.011      | 0.034       |
| 36053     | Madison                    | 0.003      | 0.015       |
| 36055     | Monroe                     | 0.018      | 0.012       |
| 36059     | Nassau                     | 0.017      | 0.018       |
| 36063     | Niagara                    | 0.001      | 0.028       |
| 36065     | Oneida                     | 0.016      | 0.025       |
| 36067     | Onondaga                   | 0.019      | 0.008       |
| 36069     | Ontario                    | 0.001      | 0.012       |
| 36071     | Orange                     | 0.023      | 0.008       |
| 36073     | Orleans                    | 0.001      | 0.033       |
| 36075     | Oswego                     | 0.017      | 0.003       |
| 36077     | Otsego                     | 0.032      | 0.065       |
| 36079     | Putnam                     | 0.003      | 0.018       |
| 36083     | Rensselaer                 | 0.018      | 0.018       |
| 36087     | Rockland                   | 0.011      | 0.018       |
| 36089     | St. Lawrence               | 0.027      | 0.029       |
| 36091     | Saratoga                   | 0.020      | 0.012       |
| 36093     | Schenectady                | 0.040      | 0.007       |
| 36095     | Schoharie                  | 0.007      | 0.020       |
| 36097     | Schuyler                   | 0.010      | 0.009       |
| 36099     | Seneca                     | 0.001      | 0.012       |
